VCE ,leafValue( DP3_IB2 "T" 20 ) (A),leafValue( DP3_IB2 "T" 22 ) (A),leafValue( DP3_IB2 "T" 24 ) (A),leafValue( DP3_IB2 "T" 26 ) (A),leafValue( DP3_IB2 "T" 28 ) (A),leafValue( DP3_IB2 "T" 30 ) (A),leafValue( DP3_IC2 "T" 20 ) (A),leafValue( DP3_IC2 "T" 22 ) (A),leafValue( DP3_IC2 "T" 24 ) (A),leafValue( DP3_IC2 "T" 26 ) (A),leafValue( DP3_IC2 "T" 28 ) (A),leafValue( DP3_IC2 "T" 30 ) (A),leafValue( B2_DP3 "T" 20 ),leafValue( B2_DP3 "T" 22 ),leafValue( B2_DP3 "T" 24 ),leafValue( B2_DP3 "T" 26 ),leafValue( B2_DP3 "T" 28 ),leafValue( B2_DP3 "T" 30 )
990.000E-3,114.706E-3,78.4782E-3,80.9271E-3,83.3998E-3,85.8956E-3,88.4139E-3,187.084E-3,166.650E-3,168.255E-3,169.841E-3,171.406E-3,172.950E-3,1.63099,2.12352,2.07910,2.03646,1.99551,1.95614
995.000E-3,124.464E-3,87.2835E-3,89.8183E-3,92.3737E-3,94.9493E-3,97.5445E-3,189.523E-3,168.679E-3,170.317E-3,171.934E-3,173.531E-3,175.106E-3,1.52271,1.93254,1.89624,1.86129,1.82761,1.79514
1.00000,134.600E-3,96.5877E-3,99.1986E-3,101.827E-3,104.473E-3,107.136E-3,191.827E-3,170.559E-3,172.229E-3,173.879E-3,175.508E-3,177.115E-3,1.42516,1.76584,1.73620,1.70759,1.67993,1.65318
1.00500,145.097E-3,106.370E-3,109.047E-3,111.740E-3,114.447E-3,117.169E-3,194.006E-3,172.304E-3,174.007E-3,175.690E-3,177.352E-3,178.991E-3,1.33708,1.61986,1.59570,1.57231,1.54964,1.52764
1.01000,155.938E-3,116.607E-3,119.342E-3,122.090E-3,124.849E-3,127.621E-3,196.071E-3,173.930E-3,175.667E-3,177.382E-3,179.076E-3,180.748E-3,1.25737,1.49159,1.47195,1.45288,1.43434,1.41629
1.01500,167.106E-3,127.278E-3,130.061E-3,132.855E-3,135.659E-3,138.472E-3,198.031E-3,175.452E-3,177.220E-3,178.968E-3,180.695E-3,182.399E-3,1.18506,1.37850,1.36259,1.34709,1.33198,1.31723
1.02000,178.584E-3,138.357E-3,141.181E-3,144.013E-3,146.853E-3,149.700E-3,199.894E-3,176.880E-3,178.680E-3,180.460E-3,182.218E-3,183.954E-3,1.11933,1.27843,1.26561,1.25308,1.24082,1.22882
1.02500,190.356E-3,149.824E-3,152.680E-3,155.543E-3,158.411E-3,161.286E-3,201.669E-3,178.228E-3,180.059E-3,181.869E-3,183.659E-3,185.426E-3,1.05943,1.18958,1.17932,1.16926,1.15938,1.14967
1.03000,202.408E-3,161.655E-3,164.536E-3,167.422E-3,170.313E-3,173.207E-3,203.365E-3,179.505E-3,181.365E-3,183.206E-3,185.025E-3,186.822E-3,1.00473,1.11042,1.10228,1.09427,1.08638,1.07860
1.03500,214.723E-3,173.828E-3,176.729E-3,179.632E-3,182.537E-3,185.446E-3,204.987E-3,180.719E-3,182.609E-3,184.478E-3,186.326E-3,188.153E-3,954.660E-3,1.03964,1.03327,1.02698,1.02076,1.01459
1.04000,227.288E-3,186.324E-3,189.237E-3,192.151E-3,195.067E-3,197.984E-3,206.544E-3,181.880E-3,183.797E-3,185.694E-3,187.570E-3,189.425E-3,908.733E-3,976.148E-3,971.253E-3,966.396E-3,961.571E-3,956.768E-3
1.04500,240.089E-3,199.123E-3,202.043E-3,204.962E-3,207.882E-3,210.803E-3,208.041E-3,182.994E-3,184.937E-3,186.861E-3,188.764E-3,190.645E-3,866.514E-3,919.000E-3,915.338E-3,911.685E-3,908.034E-3,904.379E-3
1.05000,253.114E-3,212.207E-3,215.128E-3,218.048E-3,220.967E-3,223.886E-3,209.483E-3,184.068E-3,186.036E-3,187.985E-3,189.914E-3,191.821E-3,827.624E-3,867.399E-3,864.771E-3,862.129E-3,859.467E-3,856.780E-3
1.05500,266.350E-3,225.557E-3,228.475E-3,231.391E-3,234.305E-3,237.218E-3,210.877E-3,185.106E-3,187.098E-3,189.072E-3,191.025E-3,192.957E-3,791.728E-3,820.662E-3,818.901E-3,817.110E-3,815.282E-3,813.415E-3
1.06000,279.786E-3,239.158E-3,242.068E-3,244.976E-3,247.881E-3,250.785E-3,212.226E-3,186.114E-3,188.129E-3,190.125E-3,192.102E-3,194.058E-3,758.529E-3,778.204E-3,777.172E-3,776.098E-3,774.976E-3,773.803E-3
1.06500,293.411E-3,252.995E-3,255.894E-3,258.789E-3,261.682E-3,264.572E-3,213.535E-3,187.096E-3,189.132E-3,191.151E-3,193.150E-3,195.128E-3,727.766E-3,739.523E-3,739.105E-3,738.635E-3,738.110E-3,737.525E-3
1.07000,307.215E-3,267.053E-3,269.936E-3,272.816E-3,275.693E-3,278.566E-3,214.807E-3,188.055E-3,190.112E-3,192.151E-3,194.171E-3,196.172E-3,699.209E-3,704.185E-3,704.283E-3,704.324E-3,704.305E-3,704.220E-3
1.07500,321.188E-3,281.319E-3,284.184E-3,287.045E-3,289.902E-3,292.756E-3,216.047E-3,188.994E-3,191.071E-3,193.130E-3,195.171E-3,197.192E-3,672.650E-3,671.815E-3,672.350E-3,672.822E-3,673.231E-3,673.571E-3
1.08000,335.322E-3,295.780E-3,298.624E-3,301.463E-3,304.298E-3,307.129E-3,217.258E-3,189.917E-3,192.013E-3,194.091E-3,196.151E-3,198.191E-3,647.908E-3,642.089E-3,642.991E-3,643.829E-3,644.601E-3,645.302E-3
1.08500,349.607E-3,310.425E-3,313.245E-3,316.060E-3,318.870E-3,321.677E-3,218.442E-3,190.826E-3,192.939E-3,195.035E-3,197.114E-3,199.173E-3,624.819E-3,614.725E-3,615.936E-3,617.084E-3,618.163E-3,619.171E-3
1.09000,364.037E-3,325.243E-3,328.037E-3,330.825E-3,333.608E-3,336.388E-3,219.601E-3,191.723E-3,193.853E-3,195.966E-3,198.062E-3,200.139E-3,603.239E-3,589.475E-3,590.948E-3,592.356E-3,593.697E-3,594.966E-3
1.09500,378.603E-3,340.224E-3,342.989E-3,345.748E-3,348.503E-3,351.253E-3,220.739E-3,192.609E-3,194.755E-3,196.885E-3,198.998E-3,201.092E-3,583.037E-3,566.125E-3,567.818E-3,569.447E-3,571.008E-3,572.500E-3
1.10000,393.298E-3,355.359E-3,358.093E-3,360.821E-3,363.545E-3,366.264E-3,221.858E-3,193.488E-3,195.649E-3,197.795E-3,199.923E-3,202.034E-3,564.096E-3,544.486E-3,546.364E-3,548.179E-3,549.927E-3,551.607E-3
1.10500,408.116E-3,370.638E-3,373.340E-3,376.036E-3,378.726E-3,381.413E-3,222.959E-3,194.359E-3,196.535E-3,198.696E-3,200.839E-3,202.965E-3,546.313E-3,524.392E-3,526.425E-3,528.396E-3,530.302E-3,532.141E-3
1.11000,423.050E-3,386.053E-3,388.721E-3,391.383E-3,394.039E-3,396.691E-3,224.044E-3,195.225E-3,197.415E-3,199.590E-3,201.748E-3,203.888E-3,529.593E-3,505.695E-3,507.858E-3,509.960E-3,511.999E-3,513.972E-3
1.11500,438.095E-3,401.598E-3,404.230E-3,406.856E-3,409.477E-3,412.093E-3,225.116E-3,196.087E-3,198.290E-3,200.478E-3,202.650E-3,204.805E-3,513.851E-3,488.267E-3,490.537E-3,492.749E-3,494.899E-3,496.986E-3
1.12000,453.246E-3,417.264E-3,419.859E-3,422.448E-3,425.032E-3,427.611E-3,226.175E-3,196.945E-3,199.161E-3,201.362E-3,203.547E-3,205.715E-3,499.011E-3,471.992E-3,474.351E-3,476.654E-3,478.898E-3,481.079E-3
1.12500,468.496E-3,433.045E-3,435.602E-3,438.153E-3,440.698E-3,443.239E-3,227.222E-3,197.801E-3,200.029E-3,202.242E-3,204.440E-3,206.621E-3,485.004E-3,456.768E-3,459.201E-3,461.579E-3,463.899E-3,466.160E-3
1.13000,483.841E-3,448.935E-3,451.452E-3,453.964E-3,456.470E-3,458.972E-3,228.260E-3,198.656E-3,200.895E-3,203.120E-3,205.329E-3,207.522E-3,471.766E-3,442.504E-3,444.996E-3,447.436E-3,449.820E-3,452.146E-3
1.13500,499.276E-3,464.928E-3,467.404E-3,469.876E-3,472.342E-3,474.803E-3,229.288E-3,199.509E-3,201.759E-3,203.995E-3,206.216E-3,208.421E-3,459.242E-3,429.119E-3,431.658E-3,434.147E-3,436.583E-3,438.964E-3
1.14000,514.797E-3,481.017E-3,483.453E-3,485.883E-3,488.308E-3,490.728E-3,230.309E-3,200.363E-3,202.623E-3,204.870E-3,207.102E-3,209.318E-3,447.379E-3,416.539E-3,419.116E-3,421.645E-3,424.122E-3,426.546E-3
1.14500,530.400E-3,497.199E-3,499.592E-3,501.980E-3,504.363E-3,506.742E-3,231.324E-3,201.216E-3,203.487E-3,205.744E-3,207.987E-3,210.214E-3,436.130E-3,404.700E-3,407.306E-3,409.865E-3,412.375E-3,414.833E-3
1.15000,546.081E-3,513.468E-3,515.819E-3,518.164E-3,520.504E-3,522.840E-3,232.332E-3,202.071E-3,204.351E-3,206.618E-3,208.871E-3,211.108E-3,425.453E-3,393.542E-3,396.169E-3,398.751E-3,401.286E-3,403.772E-3
1.15500,561.836E-3,529.820E-3,532.127E-3,534.428E-3,536.725E-3,539.018E-3,233.335E-3,202.928E-3,205.217E-3,207.493E-3,209.756E-3,212.002E-3,415.307E-3,383.012E-3,385.654E-3,388.253E-3,390.806E-3,393.312E-3
1.16000,577.662E-3,546.250E-3,548.512E-3,550.769E-3,553.023E-3,555.272E-3,234.333E-3,203.786E-3,206.084E-3,208.369E-3,210.641E-3,212.897E-3,405.658E-3,373.064E-3,375.715E-3,378.324E-3,380.890E-3,383.410E-3
1.16500,593.555E-3,562.754E-3,564.971E-3,567.184E-3,569.393E-3,571.598E-3,235.328E-3,204.647E-3,206.953E-3,209.247E-3,211.527E-3,213.792E-3,396.472E-3,363.652E-3,366.307E-3,368.923E-3,371.496E-3,374.026E-3
1.17000,609.512E-3,579.329E-3,581.500E-3,583.668E-3,585.832E-3,587.992E-3,236.319E-3,205.510E-3,207.824E-3,210.127E-3,212.415E-3,214.689E-3,387.719E-3,354.738E-3,357.393E-3,360.011E-3,362.588E-3,365.123E-3
1.17500,625.530E-3,595.970E-3,598.096E-3,600.218E-3,602.336E-3,604.451E-3,237.308E-3,206.376E-3,208.698E-3,211.009E-3,213.305E-3,215.587E-3,379.372E-3,346.286E-3,348.938E-3,351.553E-3,354.130E-3,356.666E-3
1.18000,641.606E-3,612.674E-3,614.754E-3,616.830E-3,618.902E-3,620.972E-3,238.295E-3,207.246E-3,209.575E-3,211.893E-3,214.198E-3,216.487E-3,371.404E-3,338.264E-3,340.909E-3,343.520E-3,346.093E-3,348.627E-3
1.18500,657.738E-3,629.439E-3,631.472E-3,633.502E-3,635.528E-3,637.551E-3,239.281E-3,208.119E-3,210.456E-3,212.781E-3,215.092E-3,217.390E-3,363.793E-3,330.642E-3,333.278E-3,335.880E-3,338.447E-3,340.976E-3
1.19000,673.923E-3,646.261E-3,648.247E-3,650.229E-3,652.209E-3,654.186E-3,240.265E-3,208.996E-3,211.339E-3,213.671E-3,215.990E-3,218.295E-3,356.517E-3,323.392E-3,326.017E-3,328.609E-3,331.167E-3,333.689E-3
1.19500,690.158E-3,663.136E-3,665.075E-3,667.011E-3,668.944E-3,670.874E-3,241.248E-3,209.877E-3,212.227E-3,214.566E-3,216.891E-3,219.203E-3,349.555E-3,316.491E-3,319.102E-3,321.682E-3,324.229E-3,326.742E-3
1.20000,706.441E-3,680.064E-3,681.955E-3,683.843E-3,685.729E-3,687.613E-3,242.231E-3,210.762E-3,213.118E-3,215.463E-3,217.796E-3,220.114E-3,342.890E-3,309.915E-3,312.511E-3,315.077E-3,317.612E-3,320.113E-3
1.20500,722.770E-3,697.039E-3,698.883E-3,700.724E-3,702.562E-3,704.399E-3,243.214E-3,211.651E-3,214.014E-3,216.365E-3,218.704E-3,221.028E-3,336.503E-3,303.643E-3,306.223E-3,308.774E-3,311.294E-3,313.782E-3
1.21000,739.143E-3,714.061E-3,715.857E-3,717.650E-3,719.441E-3,721.230E-3,244.198E-3,212.545E-3,214.914E-3,217.271E-3,219.615E-3,221.946E-3,330.380E-3,297.657E-3,300.219E-3,302.753E-3,305.258E-3,307.732E-3
1.21500,755.558E-3,731.127E-3,732.875E-3,734.620E-3,736.363E-3,738.105E-3,245.182E-3,213.444E-3,215.818E-3,218.181E-3,220.531E-3,222.867E-3,324.504E-3,291.938E-3,294.482E-3,296.998E-3,299.487E-3,301.945E-3
1.22000,772.013E-3,748.235E-3,749.934E-3,751.631E-3,753.327E-3,755.021E-3,246.167E-3,214.348E-3,216.727E-3,219.095E-3,221.451E-3,223.793E-3,318.864E-3,286.471E-3,288.995E-3,291.493E-3,293.964E-3,296.406E-3
1.22500,788.505E-3,765.382E-3,767.033E-3,768.682E-3,770.329E-3,771.976E-3,247.153E-3,215.256E-3,217.641E-3,220.014E-3,222.375E-3,224.722E-3,313.445E-3,281.240E-3,283.744E-3,286.223E-3,288.675E-3,291.100E-3
1.23000,805.034E-3,782.567E-3,784.169E-3,785.769E-3,787.369E-3,788.968E-3,248.141E-3,216.170E-3,218.560E-3,220.938E-3,223.304E-3,225.656E-3,308.236E-3,276.232E-3,278.715E-3,281.174E-3,283.608E-3,286.014E-3
1.23500,821.597E-3,799.787E-3,801.340E-3,802.892E-3,804.444E-3,805.995E-3,249.130E-3,217.089E-3,219.483E-3,221.866E-3,224.237E-3,226.594E-3,303.226E-3,271.434E-3,273.895E-3,276.334E-3,278.748E-3,281.136E-3
1.24000,838.193E-3,817.040E-3,818.545E-3,820.049E-3,821.552E-3,823.055E-3,250.121E-3,218.013E-3,220.412E-3,222.800E-3,225.175E-3,227.536E-3,298.405E-3,266.833E-3,269.273E-3,271.691E-3,274.085E-3,276.453E-3
1.24500,854.820E-3,834.326E-3,835.782E-3,837.237E-3,838.692E-3,840.147E-3,251.114E-3,218.943E-3,221.346E-3,223.738E-3,226.117E-3,228.484E-3,293.762E-3,262.419E-3,264.837E-3,267.234E-3,269.607E-3,271.956E-3
1.25000,871.476E-3,851.642E-3,853.049E-3,854.455E-3,855.862E-3,857.269E-3,252.109E-3,219.878E-3,222.285E-3,224.681E-3,227.065E-3,229.435E-3,289.289E-3,258.181E-3,260.577E-3,262.953E-3,265.306E-3,267.635E-3
1.25500,888.161E-3,868.986E-3,870.344E-3,871.702E-3,873.061E-3,874.420E-3,253.106E-3,220.819E-3,223.230E-3,225.630E-3,228.018E-3,230.392E-3,284.978E-3,254.111E-3,256.484E-3,258.838E-3,261.170E-3,263.480E-3
1.26000,904.873E-3,886.357E-3,887.666E-3,888.976E-3,890.286E-3,891.597E-3,254.106E-3,221.765E-3,224.180E-3,226.584E-3,228.975E-3,231.353E-3,280.819E-3,250.198E-3,252.550E-3,254.882E-3,257.193E-3,259.482E-3
1.26500,921.611E-3,903.754E-3,905.014E-3,906.275E-3,907.537E-3,908.800E-3,255.108E-3,222.717E-3,225.135E-3,227.543E-3,229.938E-3,232.320E-3,276.807E-3,246.435E-3,248.764E-3,251.075E-3,253.365E-3,255.633E-3
1.27000,938.373E-3,921.175E-3,922.386E-3,923.598E-3,924.812E-3,926.027E-3,256.114E-3,223.674E-3,226.096E-3,228.507E-3,230.906E-3,233.291E-3,272.934E-3,242.814E-3,245.121E-3,247.410E-3,249.679E-3,251.927E-3
1.27500,955.158E-3,938.618E-3,939.781E-3,940.945E-3,942.110E-3,943.277E-3,257.122E-3,224.638E-3,227.063E-3,229.477E-3,231.879E-3,234.267E-3,269.193E-3,239.328E-3,241.613E-3,243.880E-3,246.127E-3,248.355E-3
1.28000,971.965E-3,956.083E-3,957.197E-3,958.312E-3,959.429E-3,960.549E-3,258.133E-3,225.607E-3,228.035E-3,230.453E-3,232.858E-3,235.249E-3,265.578E-3,235.970E-3,238.232E-3,240.478E-3,242.704E-3,244.911E-3
1.28500,988.792E-3,973.568E-3,974.633E-3,975.700E-3,976.769E-3,977.840E-3,259.147E-3,226.582E-3,229.013E-3,231.434E-3,233.842E-3,236.236E-3,262.084E-3,232.733E-3,234.974E-3,237.198E-3,239.403E-3,241.589E-3
1.29000,1.00564,991.072E-3,992.089E-3,993.107E-3,994.128E-3,995.151E-3,260.164E-3,227.563E-3,229.997E-3,232.420E-3,234.831E-3,237.228E-3,258.705E-3,229.613E-3,231.831E-3,234.033E-3,236.218E-3,238.384E-3
1.29500,1.02251,1.00859,1.00956,1.01053,1.01150,1.01248,261.185E-3,228.550E-3,230.987E-3,233.412E-3,235.826E-3,238.225E-3,255.436E-3,226.602E-3,228.799E-3,230.980E-3,233.143E-3,235.289E-3
1.30000,1.03939,1.02613,1.02705,1.02797,1.02890,1.02983,262.208E-3,229.543E-3,231.982E-3,234.410E-3,236.826E-3,239.228E-3,252.272E-3,223.697E-3,225.872E-3,228.032E-3,230.174E-3,232.299E-3
1.30500,1.05629,1.04369,1.04456,1.04543,1.04631,1.04719,263.235E-3,230.542E-3,232.983E-3,235.414E-3,237.832E-3,240.236E-3,249.208E-3,220.892E-3,223.045E-3,225.184E-3,227.306E-3,229.410E-3
1.31000,1.07321,1.06126,1.06208,1.06290,1.06373,1.06456,264.266E-3,231.546E-3,233.991E-3,236.423E-3,238.843E-3,241.249E-3,246.240E-3,218.182E-3,220.314E-3,222.432E-3,224.533E-3,226.618E-3
1.31500,1.09014,1.07884,1.07961,1.08039,1.08117,1.08195,265.300E-3,232.557E-3,235.004E-3,237.438E-3,239.860E-3,242.268E-3,243.364E-3,215.563E-3,217.674E-3,219.771E-3,221.853E-3,223.917E-3
1.32000,1.10708,1.09643,1.09716,1.09789,1.09862,1.09936,266.337E-3,233.574E-3,236.022E-3,238.459E-3,240.883E-3,243.292E-3,240.576E-3,213.031E-3,215.122E-3,217.198E-3,219.259E-3,221.304E-3
1.32500,1.12404,1.11404,1.11472,1.11540,1.11608,1.11677,267.379E-3,234.597E-3,237.047E-3,239.485E-3,241.911E-3,244.322E-3,237.873E-3,210.583E-3,212.653E-3,214.709E-3,216.750E-3,218.775E-3
1.33000,1.14101,1.13165,1.13228,1.13292,1.13356,1.13420,268.423E-3,235.626E-3,238.078E-3,240.518E-3,242.945E-3,245.357E-3,235.251E-3,208.214E-3,210.264E-3,212.299E-3,214.321E-3,216.326E-3
1.33500,1.15799,1.14928,1.14986,1.15045,1.15104,1.15164,269.471E-3,236.662E-3,239.115E-3,241.556E-3,243.984E-3,246.398E-3,232.706E-3,205.921E-3,207.951E-3,209.967E-3,211.968E-3,213.955E-3
1.34000,1.17498,1.16692,1.16745,1.16799,1.16853,1.16908,270.523E-3,237.703E-3,240.157E-3,242.600E-3,245.029E-3,247.444E-3,230.237E-3,203.702E-3,205.711E-3,207.707E-3,209.690E-3,211.657E-3
1.34500,1.19198,1.18456,1.18505,1.18554,1.18603,1.18654,271.579E-3,238.750E-3,241.206E-3,243.650E-3,246.080E-3,248.496E-3,227.838E-3,201.552E-3,203.541E-3,205.518E-3,207.481E-3,209.429E-3
1.35000,1.20899,1.20221,1.20265,1.20309,1.20354,1.20400,272.638E-3,239.804E-3,242.261E-3,244.705E-3,247.136E-3,249.553E-3,225.509E-3,199.469E-3,201.439E-3,203.396E-3,205.341E-3,207.270E-3
1.35500,1.22601,1.21987,1.22026,1.22066,1.22106,1.22147,273.701E-3,240.863E-3,243.321E-3,245.766E-3,248.198E-3,250.616E-3,223.245E-3,197.450E-3,199.401E-3,201.339E-3,203.265E-3,205.175E-3
1.36000,1.24304,1.23754,1.23788,1.23823,1.23858,1.23895,274.768E-3,241.929E-3,244.387E-3,246.834E-3,249.266E-3,251.684E-3,221.046E-3,195.492E-3,197.424E-3,199.344E-3,201.251E-3,203.144E-3
1.36500,1.26007,1.25520,1.25550,1.25580,1.25611,1.25643,275.839E-3,243.001E-3,245.460E-3,247.907E-3,250.340E-3,252.758E-3,218.907E-3,193.594E-3,195.508E-3,197.409E-3,199.297E-3,201.172E-3
1.37000,1.27711,1.27288,1.27313,1.27338,1.27365,1.27392,276.913E-3,244.078E-3,246.538E-3,248.985E-3,251.419E-3,253.837E-3,216.827E-3,191.753E-3,193.648E-3,195.531E-3,197.401E-3,199.257E-3
1.37500,1.29416,1.29056,1.29076,1.29097,1.29118,1.29141,277.991E-3,245.162E-3,247.623E-3,250.070E-3,252.503E-3,254.922E-3,214.804E-3,189.966E-3,191.843E-3,193.708E-3,195.560E-3,197.398E-3
1.38000,1.31121,1.30824,1.30839,1.30855,1.30872,1.30890,279.073E-3,246.252E-3,248.713E-3,251.160E-3,253.594E-3,256.012E-3,212.836E-3,188.232E-3,190.090E-3,191.937E-3,193.772E-3,195.593E-3
1.38500,1.32827,1.32592,1.32603,1.32615,1.32627,1.32640,280.158E-3,247.348E-3,249.809E-3,252.257E-3,254.690E-3,257.108E-3,210.920E-3,186.548E-3,188.389E-3,190.218E-3,192.035E-3,193.838E-3
1.39000,1.34533,1.34361,1.34367,1.34374,1.34382,1.34390,281.247E-3,248.450E-3,250.911E-3,253.358E-3,255.791E-3,258.209E-3,209.055E-3,184.913E-3,186.736E-3,188.547E-3,190.347E-3,192.133E-3
1.39500,1.36239,1.36129,1.36131,1.36133,1.36137,1.36141,282.340E-3,249.558E-3,252.019E-3,254.466E-3,256.899E-3,259.315E-3,207.238E-3,183.324E-3,185.130E-3,186.924E-3,188.707E-3,190.476E-3
1.40000,1.37946,1.37898,1.37895,1.37893,1.37892,1.37891,283.436E-3,250.672E-3,253.133E-3,255.579E-3,258.011E-3,260.427E-3,205.469E-3,181.781E-3,183.569E-3,185.346E-3,187.112E-3,188.864E-3
1.40500,1.39653,1.39667,1.39659,1.39652,1.39647,1.39642,284.536E-3,251.792E-3,254.252E-3,256.698E-3,259.130E-3,261.545E-3,203.745E-3,180.280E-3,182.052E-3,183.812E-3,185.561E-3,187.297E-3
1.41000,1.41360,1.41436,1.41423,1.41412,1.41402,1.41392,285.640E-3,252.918E-3,255.377E-3,257.823E-3,260.253E-3,262.668E-3,202.066E-3,178.822E-3,180.576E-3,182.320E-3,184.052E-3,185.772E-3
1.41500,1.43067,1.43204,1.43188,1.43172,1.43157,1.43143,286.748E-3,254.050E-3,256.509E-3,258.953E-3,261.383E-3,263.796E-3,200.428E-3,177.404E-3,179.142E-3,180.869E-3,182.585E-3,184.288E-3
1.42000,1.44775,1.44973,1.44952,1.44931,1.44912,1.44894,287.859E-3,255.188E-3,257.646E-3,260.089E-3,262.518E-3,264.929E-3,198.832E-3,176.024E-3,177.746E-3,179.457E-3,181.157E-3,182.844E-3
1.42500,1.46482,1.46741,1.46716,1.46691,1.46667,1.46644,288.973E-3,256.331E-3,258.788E-3,261.231E-3,263.658E-3,266.068E-3,197.275E-3,174.682E-3,176.388E-3,178.083E-3,179.767E-3,181.438E-3
1.43000,1.48190,1.48510,1.48479,1.48450,1.48421,1.48394,290.091E-3,257.481E-3,259.937E-3,262.378E-3,264.803E-3,267.212E-3,195.757E-3,173.377E-3,175.066E-3,176.745E-3,178.413E-3,180.069E-3
1.43500,1.49897,1.50277,1.50243,1.50209,1.50176,1.50144,291.213E-3,258.636E-3,261.091E-3,263.531E-3,265.954E-3,268.361E-3,194.275E-3,172.106E-3,173.779E-3,175.443E-3,177.095E-3,178.735E-3
1.44000,1.51605,1.52045,1.52006,1.51967,1.51930,1.51894,292.338E-3,259.797E-3,262.250E-3,264.689E-3,267.111E-3,269.515E-3,192.829E-3,170.868E-3,172.527E-3,174.175E-3,175.812E-3,177.436E-3
1.44500,1.53312,1.53812,1.53768,1.53726,1.53684,1.53644,293.466E-3,260.964E-3,263.416E-3,265.852E-3,268.272E-3,270.675E-3,191.418E-3,169.664E-3,171.307E-3,172.939E-3,174.561E-3,176.171E-3
1.45000,1.55019,1.55579,1.55531,1.55484,1.55438,1.55393,294.598E-3,262.136E-3,264.587E-3,267.021E-3,269.439E-3,271.840E-3,190.040E-3,168.491E-3,170.118E-3,171.736E-3,173.342E-3,174.937E-3
1.45500,1.56726,1.57345,1.57293,1.57241,1.57191,1.57142,295.733E-3,263.315E-3,265.763E-3,268.196E-3,270.612E-3,273.009E-3,188.694E-3,167.348E-3,168.961E-3,170.563E-3,172.155E-3,173.735E-3
1.46000,1.58432,1.59111,1.59054,1.58998,1.58944,1.58890,296.871E-3,264.498E-3,266.945E-3,269.375E-3,271.789E-3,274.184E-3,187.380E-3,166.235E-3,167.833E-3,169.420E-3,170.997E-3,172.562E-3
1.46500,1.60139,1.60877,1.60815,1.60755,1.60696,1.60638,298.012E-3,265.688E-3,268.132E-3,270.560E-3,272.971E-3,275.364E-3,186.096E-3,165.150E-3,166.733E-3,168.306E-3,169.868E-3,171.419E-3
1.47000,1.61845,1.62641,1.62576,1.62511,1.62448,1.62386,299.157E-3,266.883E-3,269.325E-3,271.751E-3,274.159E-3,276.549E-3,184.842E-3,164.093E-3,165.661E-3,167.220E-3,168.768E-3,170.304E-3
1.47500,1.63551,1.64406,1.64335,1.64267,1.64199,1.64133,300.305E-3,268.083E-3,270.523E-3,272.946E-3,275.352E-3,277.738E-3,183.616E-3,163.062E-3,164.616E-3,166.161E-3,167.694E-3,169.216E-3
1.48000,1.65256,1.66169,1.66095,1.66021,1.65950,1.65879,301.456E-3,269.289E-3,271.726E-3,274.147E-3,276.549E-3,278.932E-3,182.417E-3,162.057E-3,163.597E-3,165.127E-3,166.647E-3,168.154E-3
1.48500,1.66961,1.67932,1.67853,1.67776,1.67700,1.67625,302.609E-3,270.501E-3,272.935E-3,275.352E-3,277.752E-3,280.132E-3,181.246E-3,161.077E-3,162.603E-3,164.119E-3,165.625E-3,167.118E-3
1.49000,1.68666,1.69694,1.69611,1.69529,1.69449,1.69370,303.766E-3,271.717E-3,274.149E-3,276.563E-3,278.959E-3,281.335E-3,180.100E-3,160.122E-3,161.634E-3,163.136E-3,164.627E-3,166.107E-3
1.49500,1.70370,1.71456,1.71368,1.71282,1.71198,1.71114,304.926E-3,272.939E-3,275.368E-3,277.779E-3,280.171E-3,282.544E-3,178.979E-3,159.189E-3,160.688E-3,162.176E-3,163.654E-3,165.120E-3
1.50000,1.72073,1.73216,1.73125,1.73034,1.72946,1.72858,306.088E-3,274.167E-3,276.592E-3,279.000E-3,281.388E-3,283.757E-3,177.883E-3,158.280E-3,159.765E-3,161.239E-3,162.703E-3,164.156E-3
